"Lean_Pre_training_1"	"Lean_Post_training_1"	"Obese_Pre_training_2"	"Obese_Post_training_2"	"T2D_Pre_training_3"	"T2D_Post_training_3"	"Lean_Pre_training_4"	"Lean_Post_training_4"	"Obese_Pre_training_5"	"Obese_Post_training_5"	"T2D_Pre_training_6"	"T2D_Post_training_6"	"Lean_Pre_training_7"	"Lean_Post_training_7"	"Obese_Pre_training_8"	"Obese_Post_training_8"	"T2D_Pre_training_9"	"T2D_Post_training_9"	"Lean_Pre_training_10"	"Lean_Post_training_10"	"Obese_Pre_training_11"	"Obese_Post_training_11"	"T2D_Post_training_12"	"Lean_Pre_training_13"	"Lean_Post_training_13"	"Obese_Pre_training_14"	"Obese_Post_training_14"	"T2D_Pre_training_15"	"T2D_Post_training_15"	"Lean_Pre_training_16"	"Lean_Post_training_16"	"Obese_Pre_training_17"	"Obese_Post_training_17"	"T2D_Pre_training_18"	"T2D_Post_training_18"	"Lean_Pre_training_19"	"Lean_Post_training_19"	"Obese_Pre_training_20"	"Obese_Post_training_20"	"T2D_Pre_training_21"	"T2D_Post_training_21"	"Lean_Pre_training_22"	"Lean_Post_training_22"	"Obese_Pre_training_23"	"Obese_Post_training_23"	"T2D_Pre_training_24"	"T2D_Post_training_24"	"Lean_Pre_training_25"	"Lean_Post_training_25"	"Obese_Pre_training_26"	"Obese_Post_training_26"	"T2D_Pre_training_27"	"T2D_Post_training_27"	"Lean_Pre_training_28"	"Lean_Post_training_28"	"Obese_Pre_training_29"	"Obese_Post_training_29"	"T2D_Pre_training_30"	"T2D_Post_training_30"	"Lean_Pre_training_31"	"Lean_Post_training_31"	"Obese_Pre_training_32"	"Obese_Post_training_32"	"T2D_Pre_training_33"	"T2D_Post_training_33"	"Lean_Pre_training_34"	"Lean_Post_training_34"	"Obese_Pre_training_35"	"Obese_Post_training_35"	"T2D_Pre_training_36"	"T2D_Post_training_36"	"Lean_Pre_training_37"	"Lean_Post_training_37"	"Obese_Pre_training_38"	"Obese_Post_training_38"	"T2D_Pre_training_39"	"T2D_Post_training_39"	"Lean_Pre_training_40"	"Lean_Post_training_40"	"Obese_Pre_training_41"	"Obese_Post_training_41"	"Lean_Pre_training_42"	"Lean_Post_training_42"	"Obese_Pre_training_43"	"Obese_Post_training_43"	"Lean_Pre_training_44"	"Lean_Post_training_44"	"Lean_Pre_training_45"	"Lean_Pre_training_46"	"T2D_Pre_training_47"	"T2D_Pre_training_48"	"ID"
24.5768552031964	25.2206837204119	25.3806709816714	24.8952969921267	25.3369857779024	24.4229535153143	23.4673105103993	23.0925500513861	23.7387276837676	24.0940122672123	23.73465091562	24.2979257575713	23.5606570272228	24.447476519095	23.9076388700199	24.1403277146617	24.4079048884095	24.5294453292187	23.7649849445947	24.5689063863786	24.8494728707742	24.4086694807725	23.562766000905	24.1520610504342	24.1740796178351	23.7898181792098	23.6992869210093	23.9826970107769	23.9725574101485	24.7879766672247	23.9582889684603	24.8867139538833	24.9328979411518	24.6048196885505	23.3380780288797	24.8092392105055	24.4276857352606	23.1742335678211	22.7694593486235	24.9199715054598	23.671189883272	25.7110069080321	26.8617263474021	24.1068935585091	24.1012050029006	23.534084836045	24.2230468879744	23.8716789267163	23.522098733644	23.1495359578025	23.0516683146416	22.5316360839251	22.5027332469372	23.6529959167349	23.149618131595	23.584984055719	24.0143818427673	23.343821687046	23.2772488001105	22.8951777084401	23.9317939728151	22.9185091540369	23.2716750285317	23.8716413300978	22.9265084697972	24.4660660030623	24.4285038142496	22.1379648637967	23.9571466885365	24.1160234367394	23.4240114470568	23.0866782251766	24.3037824201087	23.6557058401255	23.4030161857016	23.8300671733259	24.130267011718	24.5801950697932	23.6909055277638	23.7663202301757	23.1055610405518	22.971354451087	24.0339075593872	23.5713448247208	23.9144344056801	23.3679436515687	23.7749394391766	24.0846037221681	24.0176474570339	24.1268846674108	24.2402061199795	"IGKV3.7"
22.9211036275127	22.6820057136871	22.8621715644384	22.8964199943791	22.855223602936	22.436956500079	NA	21.5872363822439	22.7349278811887	22.6713194812096	22.4217946709691	22.1863772471615	21.943557903233	23.0943038882205	22.2735713897659	22.6675369166286	23.1186838528337	22.5097899820743	22.7786835594078	23.3318878921887	22.9624219474101	22.8385111010193	23.0455190517467	23.3471244439933	23.4852116854023	22.5825146025496	22.350049995895	22.6428277798224	22.821828468086	22.4753589007616	22.4020924195178	23.2714328209783	23.0922709818671	23.006113394972	22.5254386060467	22.3140117235562	23.2920171293866	22.4175775095389	21.9737891403757	22.8973971728972	22.7511141389666	23.3062325034611	23.5751477350559	22.1041712910184	22.8895685759462	23.0114671686035	22.3466673818394	23.4685788028824	22.7615317546834	21.0252707094287	20.8394898427369	21.7134611946521	20.7339934262274	22.1942693133486	21.4307179687621	22.7095752384107	22.4075639310268	21.5298861287144	22.2935277784983	22.1730335423889	23.7545331998797	21.3156294312114	21.0406348758636	22.0778458001401	21.6841801624129	22.3323223405418	22.3025418716529	NA	22.0893528453371	22.4662278497381	22.3142413549255	21.6756349176315	22.6579464212193	22.1940829100946	21.9313557561103	21.9312078504722	22.3930447424051	22.3286404169781	21.7486391995016	21.8244452693849	22.5063506847833	21.522984696718	22.5035850824531	21.9309408604448	22.3872863741784	21.7798099118303	21.6443668190777	22.2571507074643	22.5825697294038	22.5380179043104	22.0476870885988	"IGKV2.28"
21.4633367762359	21.919493312324	21.4293444183445	21.2158635573681	22.1337417721602	21.9015865434781	21.441669676906	21.3832940132956	21.5192215904165	21.6493842520028	21.2408379060177	21.2034065558305	21.4468621884104	21.5740298644897	20.5319905781276	21.1757127840917	21.7029048475113	20.5960423074832	21.2084641914282	21.477467766461	21.8381013321895	21.6064133460532	21.3939350524686	20.7695360240756	20.5609671581036	20.3324562007738	21.5210013009294	21.4335579356022	21.2191767940736	20.4641947335231	21.4879342178379	20.4146542710381	20.4504158807864	20.1593466052801	21.2253039485973	20.2635603475562	20.5062029645588	20.6773824339234	21.6307825859205	19.3380421100362	20.4726472138101	20.9557818511567	20.3533816200369	20.3979294415625	20.6083234142118	20.6742733153773	19.8153926779043	20.9919203745038	20.8631835552873	20.3804378125375	20.6428960695854	20.8700199840084	20.2524459997335	20.7485122700003	20.8510612089388	21.0939333099484	21.5746443385761	20.666674774574	20.9085700029039	20.9318570794823	NA	20.5368258322632	20.6210108738943	20.7226741397367	20.7129618579064	20.7623755498904	20.7242407106837	20.471496612677	20.8361490042455	21.1964772606893	20.9112354369192	20.4727661891558	21.5909268957843	20.3464076843957	20.8102703724199	20.7943254285303	21.1540764016475	20.7418800456643	20.3124752966484	20.299990518293	19.6879702133054	20.8928585020859	21.1749756506292	20.7250483298509	20.8875211059665	20.1821300122792	20.5891354090614	20.1175238931372	20.9080201939391	21.4539859515795	20.5467023268386	"IGKV2D.24"
21.8773485466739	22.2447592667259	22.197425490135	21.8766930460514	22.2790414754946	22.254935755875	21.5115403408768	20.6360510420566	21.4514224286368	21.9804045904817	21.8541241921774	21.5608319212551	NA	21.7277260556416	21.4092407166466	21.8328622070176	22.3583807732394	22.3797109813912	22.0695638371137	21.757765174069	22.410786193824	21.9106354115842	21.8520486264217	21.4766522754235	21.3694354701943	21.7856001337723	22.6324632195503	21.674820696059	21.8221008678011	22.0486983903259	22.3668824561984	21.7109165509322	21.3615219039605	20.092540373578	21.1026280446974	22.3869023660014	22.0963001501423	21.335556095982	NA	22.2937354392547	21.7117778651925	21.6206843058075	21.3636086335672	NA	21.8220697390081	NA	21.6993377617518	NA	NA	NA	NA	NA	NA	21.3902550403039	21.0226116373634	NA	NA	20.5300862310615	NA	NA	20.3990045724005	20.6815232489334	20.9658265504992	21.349407585246	NA	22.011741842387	21.9067364909231	NA	21.0816537681636	21.5510285342448	21.6833107761659	21.2637150672282	21.910390207463	21.7732277622911	21.7391543041238	21.5835823105649	22.1696247267057	21.3390627275624	20.7426285170643	20.5443079368665	20.7943492285062	20.8662511269695	21.7728493504749	21.0756867455043	22.2376528676351	NA	20.3182139963545	21.2867371037177	21.787016157817	20.6905112861965	22.0875282336421	"IGKV3D.15"
18.7411970351798	21.4116682114896	22.2584280143697	19.8400310382664	NA	19.1181680077744	19.0770008270356	18.3838434866629	19.09582194286	NA	NA	19.8222067006736	19.0600942611722	21.0962776271115	19.9994275281725	20.577758881713	19.7893425974907	19.3757670286893	20.9114402664769	21.9630484614525	21.2279085005607	18.6857856503099	20.493065790344	18.5917962444594	NA	NA	21.0465218823532	19.1265456813531	20.6765218529928	NA	21.2293703970604	20.0721116638295	18.8501166208056	18.647201923911	20.2380758072198	NA	18.6884210725873	NA	NA	20.2248330989621	NA	NA	NA	18.8890790824907	19.2993243023636	19.8706416526873	21.5475168329231	20.8411266450074	19.505598364845	19.0411912307379	21.1021794893249	18.0920757624288	20.1741283958462	20.0150883181443	18.1556631906193	NA	19.3272763232764	19.527973274744	19.7773965978522	18.3660916515163	19.8350496094291	19.0221483358887	19.3580501816979	19.9755429345217	19.6790865898074	22.219599276152	24.2448434488889	21.5938697896438	21.7088346697515	21.700955256464	20.6271704861137	20.8532714770126	21.9053855359018	20.8756773684321	20.1613533495986	22.7994511991885	21.3408454431804	20.1488737453028	19.9329240656791	21.0954987574762	20.0881852302948	21.8712615493201	21.1825362045885	21.0658815231462	20.1175746212568	20.9032390288745	20.3140366251101	20.2117766250503	20.1576701277509	20.6554066873053	23.6821214812238	"IGHV3.49"
22.5938948582926	22.8328177917126	23.3764343773039	22.4199730325523	22.7988067770749	22.1484362391816	22.2120053006483	21.6459371917147	22.081283177025	21.7304485767354	22.374655332601	22.2483428189183	21.674471603236	22.7020868475717	22.1216460717348	22.695802181985	22.9658793810545	22.9251777230456	22.5345693388758	22.8857146172018	23.0432125630335	23.0710937278731	21.9170653564552	21.6170333459895	21.8453139299601	21.7137842028289	22.333108932913	22.220281485959	22.2804524908067	20.9348037895136	21.5315432824668	21.5277165724498	21.3904282427523	22.0449590290801	21.8777042651835	20.9321887948528	21.4889688560449	20.6539209224352	21.5603374993767	21.8485648725457	21.0709136322799	21.1909615898156	21.6319461392634	20.8802217415955	21.7185955845821	21.7435697236984	22.6969738916504	21.879043974827	22.3391225494703	21.3919284602486	21.2635890005992	20.8668019942737	20.8222098132876	21.4279286508805	21.6029072376423	21.4766275563765	21.6601857045714	20.9630908075145	21.5128667841216	21.451190984808	21.9589208185043	21.314700508043	21.2954965472954	22.1006212781112	21.6096134236512	21.6153054409801	22.3440086841746	20.6080706898547	21.7405548750478	22.4429708230401	22.0114893491729	21.4084531033688	22.3989419653918	21.6800856198065	21.5914018150242	21.5027745155202	21.9142683289298	21.9461738125608	20.9111037454168	21.4836603196316	20.8868739323421	21.1970414722877	21.944180147618	21.6410930174063	22.2205412905772	21.087408453241	21.3538392518483	21.7321185570928	22.1253560797936	22.0596408633463	22.104913510272	"IGHV3.74"
22.8169418403996	22.8331923822871	22.5408318347275	22.4503126699411	22.3313767697356	22.6213440760858	23.1289260350752	23.2278291987617	22.6043876284491	22.3295467245008	22.8072365931413	22.6125252326798	23.0108545088713	22.3994114517469	22.8507675220175	22.4899439728381	23.2027506878962	23.0418532942593	22.2084552607743	22.4760465368145	21.8492103642942	22.4270795463565	22.187126706997	22.0987659031914	22.740416937987	22.8653659030575	22.603855858577	22.4367074760943	22.1049007166229	22.7355188388667	22.0132081588879	23.0458323029429	22.3647764193531	21.9470875477668	22.2697105505141	21.5067550217985	22.1584408097243	22.3347381086979	22.711214917984	21.2818168593141	21.9346634350006	22.0407886973476	22.3389784288454	21.9107744640591	22.2805034655274	22.3200529538453	22.2243061537421	23.0383708006434	23.0723897529054	23.3996044184966	23.1637550005241	23.4422393891832	23.3662368249385	23.4112130439004	22.9959289355377	23.0263940978535	22.645763523078	23.1864301452013	23.1612518482871	23.4957516011032	22.582025259391	23.6151415191581	23.3591211093233	23.1297436603496	23.39077720877	22.8728270314897	22.7802525961114	23.3935423363429	23.155973176847	22.2268243318258	23.0783410789557	23.2608644174267	23.1432941439953	23.1944271359844	23.4776975034284	22.8304212010872	22.7413163796015	22.8869278745672	23.355039172826	23.7253292253805	22.6555464452484	23.7860330660825	23.0290681258295	23.0476538100485	22.6743336667411	23.2844259443973	23.0941282782099	22.8165141799204	22.9194805825843	22.8111724024646	22.1772923923556	"LOC102724023"
19.3089233533268	19.6985622456883	19.7548826102042	19.1916014538022	22.185340053829	21.7775643530431	20.8866358184207	21.2159701727046	20.8238274635806	21.1918773151166	20.2648090920464	20.1881928074158	20.4166759072192	20.4954490869143	20.0179311483195	20.7388410493096	20.8003185400543	20.470652916831	20.6495859901176	21.0233022492819	20.5664591742214	21.2194781575772	20.6957108675353	20.2774417898829	19.8662405603351	19.8579521491973	21.2436876921585	21.0098299838872	20.5121385971743	19.7413468314247	20.3286048101963	19.5578450870189	19.9833026046145	19.3323862671816	20.6383333819295	NA	19.8747802791474	NA	20.6863278262286	19.929203497324	19.804665162734	NA	19.895773473671	20.4253593459591	20.0349520645903	19.9688664412829	19.0941524459936	20.0659078118002	NA	19.1540491984608	19.3641389308192	NA	NA	19.5755521722984	NA	NA	19.8249991268748	19.2274631791599	NA	19.0343234369491	20.2854451168713	18.751874176931	NA	20.4164594387952	19.3943245212719	20.1629764001345	20.3108568192961	19.9380174084695	20.0876674253987	19.8227388600853	19.5411098531051	NA	20.4421963521116	19.3729734315711	19.0594580119707	20.2611858991249	19.6510814806623	19.5985214452598	NA	NA	NA	19.5684200593856	20.4231343804395	19.2804105769093	19.5440305341608	20.2733835733085	20.0853868733902	20.2541428468557	20.2773623266325	19.831724744425	19.7069428114633	"IGHV5.51"
20.462608109593	20.1166739318668	21.081426223482	20.6512864857178	21.2171187493209	20.7236576117465	20.5622256517203	19.4325684058819	21.0296377195935	20.2030898641235	20.7195943726928	19.9563279410602	18.4210909536089	21.3445343143799	19.5427787281217	20.9779827954924	21.7519109428076	21.5328609795323	21.1413650216244	21.38839574128	21.5632735584451	21.0235256117882	20.1422566653195	20.8438505288186	21.0976476743788	20.712743606064	20.3444367892245	20.7819199554772	20.9417898373635	20.805255796996	20.602698865018	20.2447795870081	20.178037464353	20.4375610937192	20.2614499197968	20.9661646326272	21.1010382484878	19.5466721859993	19.981296907327	21.4534082999222	20.0669195609083	20.5710415476011	21.2571794880896	19.7865887049038	19.9413886788245	20.4745001323279	20.423842230102	21.1520904579864	21.2322838972443	21.3222582637936	21.9655940730702	19.5648714310759	19.486023827395	20.141857676126	19.5047898982437	20.6313333922583	20.6267606624685	20.0577617368429	20.7841747291317	20.6058484207036	21.4114044386788	20.1500769784286	19.1698858653038	20.6068064035765	20.8286618131324	21.3783223770083	21.3247376177671	20.1418327356373	20.4131775123142	21.1249870851228	21.0142984047624	20.5365223246372	21.4018555278407	20.7082116244545	20.6969929877303	21.1522266535688	21.3870075838872	21.1542989539103	20.173994252347	19.8261698393922	20.4952148388082	20.6611430915183	21.4957711159696	21.396205473051	21.0552016608768	20.5466269735596	20.6020010505952	20.732462258526	21.7491468058624	20.9351851969056	21.3277883521429	"IGKV1.8"
21.6327671673836	19.2697955716956	19.4995851036096	21.1467439208043	21.462717932229	21.0659735313394	21.6593322243586	21.4728207162437	21.4384192831147	21.3550768223563	21.8249424303374	20.7939842523897	20.3490025575785	21.7537970003856	21.8577615997491	21.3450272573322	21.8944766018886	NA	21.3006720651655	20.8555772144488	21.4170675294432	21.421301591149	21.9843496124864	23.1546234477661	23.4972266685137	NA	20.9513274077255	20.5189719676041	20.7725513819706	NA	20.7305480838109	NA	22.9543748949945	NA	20.510690776728	NA	NA	20.6658598150629	20.8070891598162	NA	23.7428957342012	23.0269056675974	NA	NA	23.3296589465386	19.9531477895136	22.584479492592	21.6946273946688	22.8114193818923	21.1604118816053	22.3889001948092	20.1505480746721	20.2912921301591	20.3458989747808	20.4745397409635	21.2095116712176	21.4651219506991	21.8379550954158	22.2869429248892	21.6573053639318	21.1862895832822	20.302592071848	20.2412453631332	20.9734703580298	20.8979104344191	21.5123459991019	20.8120738688768	20.8087945336833	20.1084912762075	20.4709011138899	21.0342670082517	20.952628930334	21.1977134364546	21.1085231806165	21.0716797015673	20.8999911491573	21.4460595061929	20.9099838820315	21.6486867224697	21.9798710281303	21.401808665538	20.7469800462528	21.0497887371877	20.7957368814145	20.9467735165606	21.0312610072188	21.1164010769397	20.7619374870544	21.2121389254522	21.3049717870388	NA	"RBM47"
21.5420654872073	21.5030657895929	21.6914104258161	21.7633607052083	21.9725451401201	21.748270663641	22.0707236889329	21.7373067674015	22.0015628194829	21.9581278643759	22.1377897995543	22.0058376473962	21.6476771203443	21.8092696359182	21.9432967667426	22.0328185883022	22.2689599784703	22.4831854797938	21.8745746801321	22.05634995702	21.8285688484902	22.1694198190675	21.798986690738	20.9936004554685	21.1716325044572	20.6834264390307	21.9044119173603	21.6715635257209	21.8797881361431	21.4540361712295	22.0070772409443	20.971619328476	20.6012122045867	20.8637809586375	22.0076316313942	20.6629516885313	21.3180153479542	20.4399363687607	21.6959614375434	21.321140887546	20.6968571878922	20.639923576497	21.6805492507663	21.038573423647	20.912149629794	21.1460104839921	21.9884849889063	21.9210745632594	21.8027971675501	22.0644447771665	21.5181748056406	22.092333898206	22.0633819141081	21.8627447978257	22.2092736744024	21.8975264286115	21.9787998205013	21.8966140049638	21.7934842439261	21.8988404863576	21.5047249298236	21.9435042489083	21.9347210179911	22.1084880857278	22.0705468226441	21.8989585453007	21.897888283016	21.9560761980196	22.0070156288529	21.6307648144724	21.8297459582268	21.7360930343467	21.9368930965731	21.9927917718235	21.7267910795684	21.7495601274905	21.5453736483312	21.9476476382808	22.1067322519141	22.181380984843	21.6060744173895	21.7487292717281	21.5426228843867	21.5740945582985	21.4676264443663	21.679059091668	21.7245613146719	21.6642111494692	21.7261632667863	22.1506689232559	20.8851914108173	"ESYT2"
19.4701842043425	19.4893344795703	19.6569624776156	19.9878746296561	18.7193721081303	NA	NA	19.7742690899579	19.7355262759523	19.613697753867	19.8448589788834	19.5023753745463	19.8524121613063	20.496980522439	19.0754634806518	19.8315345646799	19.9363647625733	20.4898362033799	19.8097210343972	19.5688134009033	19.4858312736683	19.5433679486209	19.7870018051099	NA	NA	19.8600942875776	19.8326041929293	NA	19.5344605774039	NA	19.8465233713085	20.7614181291689	19.3614897768417	20.2461838957886	19.9692881421962	20.2864156256102	NA	NA	19.6979432288482	19.3225751548717	NA	NA	NA	18.6203773538892	20.3974803633612	21.0217377427009	20.8426388437516	20.7600051790488	20.7321641125923	21.1015063946654	21.0430272835945	21.341241906591	21.2850951221812	21.2649579527585	19.6903271278166	20.6394290371003	20.1424685834561	21.0405412373647	20.5803929157535	20.9086213077182	20.5247693371913	21.1496429378579	21.1257123696922	20.7066528330146	21.0582243149002	20.6374491825436	20.5372335701156	21.127653076879	20.854824259935	20.5640136204745	20.9483715095597	20.9870835528617	20.6001597385017	20.1064862645638	20.8693573786952	20.661630244567	20.8433598422931	20.7290547565508	20.7582655131006	21.1240594509941	20.8319195367095	20.8176504231961	20.8999690296791	20.9827109353295	20.3174854851249	20.895649237539	20.6702413039909	20.7373480328876	20.8072306960976	20.6469084712389	20.2671318583959	"ILVBL"
22.3367086706238	22.0503568535905	22.1835299840522	22.2363365865532	22.431554733746	22.0208497572272	20.897297453433	21.4238268457583	21.6675282544468	21.0801317868694	21.9767319209274	21.7706816348805	21.374756141893	20.8360333990496	21.8174162194552	21.3864708924231	22.6068244726121	22.0307425619856	21.1633388778376	21.4701514284935	20.7729379238396	21.3948928314111	20.8690786923773	18.7041670812401	19.4924126270018	NA	21.434143588605	21.3621482398218	21.2071597304371	19.8721578219025	20.7395251758277	NA	18.8172054035762	18.2159926793796	20.8443180591243	18.4904866166812	18.4339195407522	18.0943045326216	21.4870902667787	21.2728484469175	19.8005207787539	18.3594493107208	NA	20.1966933677986	20.029206331961	19.9574336718128	21.3828509073134	22.3003983678142	22.1835118113049	22.5751084856811	22.1588259963803	22.641820681285	22.1807802689514	22.0900445590789	22.4557777111896	21.7358328157906	21.7987533917816	21.9754414756067	22.1038640540812	22.153430187349	21.0686588985113	22.1111878972793	22.1393989652829	22.2210932200945	22.5223837378821	22.110436155152	22.1947292054516	21.874285741487	22.230546470951	22.0295265148099	22.0599180667175	22.1884192145667	22.0341931101911	22.190150808416	22.0560819927079	22.0444955125971	22.0580161731286	22.1026024167184	22.3404706036059	22.1464549414901	22.1871176432766	22.1391085108359	21.8596204693344	21.9043861902252	22.0649249475883	22.0937367036995	22.2387435076479	21.9702926993441	20.8800572859025	22.3038325771569	21.0202868574948	"EIF3CL"
23.3384045228083	23.2071597304371	22.6313023039521	23.1777136333943	23.2020182734282	23.3469081012593	23.3146092422528	23.1533095698533	23.2043338236522	23.2820233835772	23.4633617240564	23.5600039021072	23.1906346194303	23.2929719986329	23.5793435624504	22.983264327473	23.1414117998497	22.8287547717845	23.14136814022	23.2398813849559	23.1431352992388	23.282744572027	23.2714470696072	22.7628195611757	22.5883669475122	22.6031563393256	23.4022355769491	23.2991493137814	23.0507255111978	23.0376320741905	23.0037893005033	22.7340389225641	22.920803874281	22.4060279758697	23.1331694990355	22.7958181168651	22.8369964927455	23.9041968979117	23.2527852401759	23.69307725161	22.909046334578	22.7450686320384	23.0670607551687	22.7033612040232	22.7031203671863	22.923920080737	22.652041861855	23.0102398811925	23.6196146133542	23.3054116322425	23.4096084676737	23.1786560378703	22.7149602642753	23.0647851884407	23.0324436441749	23.4073538715393	23.0917401168539	23.2447273342756	23.1626752900881	23.1763125693151	23.10421929088	23.140744286922	23.0711346555545	23.3831885242148	23.2881349822105	23.281980949498	22.7512939690531	22.5527249076675	23.0472594007714	22.9694111150806	23.1735795481111	23.1566305964924	23.326233612911	23.2700500346867	23.4857276180371	22.9025547099829	23.5628009303101	22.9684129752816	23.1208333329882	23.0068906851451	23.3041585554724	22.6827408940817	23.3992914864329	23.159466719121	23.3357768730556	23.1322172980455	23.309663970512	23.365342602098	23.0342250211816	23.264791914822	22.6874901665672	"NACA"
