Group	Training	Intensity
Lean	Pre	1,934455063
Lean	Pre	1,702343279
Lean	Pre	0,589768059
Lean	Pre	0,94894139
Lean	Pre	0,781232161
Lean	Pre	1,05410384
Lean	Pre	0,46539043
Lean	Pre	0,384094862
Lean	Pre	0,67983974
Lean	Pre	2,567562781
Lean	Pre	0,618442352
Lean	Pre	0,025415769
Lean	Pre	0,979266676
Lean	Pre	2,719266138
Lean	Pre	1,212905887
Lean	Pre	0,440434552
Lean	Pre	0,616732496
Lean	Pre	0,279804524
Lean	Post	1,018199276
Lean	Post	2,651758065
Lean	Post	1,042978241
Lean	Post	1,440758052
Lean	Post	1,240303621
Lean	Post	1,023312219
Lean	Post	0,803727341
Lean	Post	0,650917728
Lean	Post	0,332808219
Lean	Post	4,147196321
Lean	Post	1,192562503
Lean	Post	0,49090048
Lean	Post	0,343928852
Lean	Post	1,693376253
Lean	Post	0,252749144
Lean	Post	0,394534431
Obese	Pre	0,167699991
Obese	Pre	1,272462924
Obese	Pre	1,090840219
Obese	Pre	0,662899816
Obese	Pre	0,681789973
Obese	Pre	0,813673684
Obese	Pre	1,617358273
Obese	Pre	1,014101805
Obese	Pre	2,028379664
Obese	Pre	1,292718983
Obese	Pre	2,930542713
Obese	Pre	1,459964175
Obese	Pre	0,856265941
Obese	Pre	0,808041169
Obese	Pre	0,945023636
Obese	Post	1,012356825
Obese	Post	1,916688335
Obese	Post	1,135471988
Obese	Post	1,320587278
Obese	Post	0,623151546
Obese	Post	0,378869427
Obese	Post	1,409027117
Obese	Post	0,817821283
Obese	Post	1,672152999
Obese	Post	0,658637363
Obese	Post	0,943404022
Obese	Post	1,149900243
Obese	Post	0,997575806
Obese	Post	0,568483534
Obese	Post	0,708927413
T2D	Pre	2,340961278
T2D	Pre	3,578039259
T2D	Pre	7,310928717
T2D	Pre	0,358092593
T2D	Pre	1,543049783
T2D	Pre	1,155436931
T2D	Pre	0,753257472
T2D	Pre	0,749149457
T2D	Pre	4,789066535
T2D	Pre	6,644323993
T2D	Pre	0,877699222
T2D	Pre	1,026591861
T2D	Pre	0,708767155
T2D	Pre	0,173961667
T2D	Post	1,626025851
T2D	Post	1,71034019
T2D	Post	16,05346779
T2D	Post	3,648920695
T2D	Post	2,583154603
T2D	Post	3,054171263
T2D	Post	1,412998496
T2D	Post	2,62044952
T2D	Post	4,734982005
T2D	Post	8,279021476
T2D	Post	2,27282154
T2D	Post	0,655487611
