Group	Training	Intensity
Lean	Pre	1,140226497
Lean	Pre	0,942959968
Lean	Pre	0,316954553
Lean	Pre	2,159417243
Lean	Pre	1,06638352
Lean	Pre	0,863643797
Lean	Pre	0,606255894
Lean	Pre	0,610651239
Lean	Pre	0,807533931
Lean	Pre	1,475840804
Lean	Pre	1,345199876
Lean	Pre	1,079841247
Lean	Pre	0,594702841
Lean	Pre	1,145912278
Lean	Pre	1,21172781
Lean	Pre	0,854839224
Lean	Pre	1,028185973
Lean	Pre	0,749723304
Lean	Post	1,462951686
Lean	Post	1,128130044
Lean	Post	1,187721927
Lean	Post	2,247610282
Lean	Post	1,561965776
Lean	Post	3,332751648
Lean	Post	0,840874647
Lean	Post	0,931476601
Lean	Post	0,236578776
Lean	Post	2,549506378
Lean	Post	1,314176491
Lean	Post	0,866235986
Lean	Post	0,405372254
Lean	Post	1,132617497
Lean	Post	0,378631323
Lean	Post	1,311066742
Obese	Pre	0,206211678
Obese	Pre	2,163487724
Obese	Pre	1,968652289
Obese	Pre	0,907696423
Obese	Pre	0,641947278
Obese	Pre	1,456969355
Obese	Pre	1,009315272
Obese	Pre	1,337475498
Obese	Pre	0,292222
Obese	Pre	1,36676368
Obese	Pre	2,199036687
Obese	Pre	1,295839333
Obese	Pre	0,797625401
Obese	Pre	0,552874795
Obese	Pre	1,365689514
Obese	Post	2,135303349
Obese	Post	2,489158818
Obese	Post	1,853859104
Obese	Post	0,939220157
Obese	Post	0,811550027
Obese	Post	0,846926011
Obese	Post	1,214296156
Obese	Post	1,273688804
Obese	Post	1,484053095
Obese	Post	1,136206952
Obese	Post	0,149749799
Obese	Post	1,300361297
Obese	Post	0,777393506
Obese	Post	0,664368659
Obese	Post	0,970088053
T2D	Pre	1,705991685
T2D	Pre	2,139511467
T2D	Pre	2,839436052
T2D	Pre	0,695449617
T2D	Pre	1,324152278
T2D	Pre	2,034566897
T2D	Pre	1,027581287
T2D	Pre	1,125587506
T2D	Pre	3,421933354
T2D	Pre	2,721927092
T2D	Pre	2,257648896
T2D	Pre	1,499042588
T2D	Pre	1,253652537
T2D	Pre	1,488837184
T2D	Pre	0,917591056
T2D	Post	2,101627616
T2D	Post	1,878288515
T2D	Post	3,446150234
T2D	Post	2,865725455
T2D	Post	1,990437865
T2D	Post	2,09617481
T2D	Post	1,138027962
T2D	Post	1,126851798
T2D	Post	2,373305414
T2D	Post	1,20736414
T2D	Post	2,039275804
T2D	Post	1,807738796
T2D	Post	0,976559572
